time,symbol,tradeSize,tradePrice
13:39:00,STOCK_4154,1.0,20.85
13:39:00,STOCK_4154,1.0,20.8
13:39:01,STOCK_3660,1.0,1.45
13:39:01,STOCK_3660,1.0,1.45
13:39:01,STOCK_3660,1.0,1.45
13:39:01,STOCK_3660,1.0,1.45
13:39:02,STOCK_4154,4.0,22.4
13:39:07,STOCK_6061,-2.0,1.3
13:39:07,STOCK_6061,1.0,1.3
13:39:08,STOCK_6061,1.0,1.3
13:39:16,STOCK_4890,4.0,8.6
13:39:23,STOCK_4890,3.0,8.05
13:39:23,STOCK_4890,1.0,8.05
13:39:24,STOCK_3660,-3.0,1.4
13:39:25,STOCK_3660,1.0,1.4
13:39:33,STOCK_4154,2.0,21.4
13:39:33,STOCK_4154,-2.0,21.35
13:39:34,STOCK_4154,3.0,20.75
13:39:34,STOCK_4154,1.0,20.75
13:39:36,STOCK_4154,4.0,20.55
13:39:37,STOCK_4890,-2.0,7.55
13:39:37,STOCK_4890,2.0,7.55
13:39:39,STOCK_4154,-1.0,19.25
13:39:39,STOCK_4154,-2.0,19.3
13:39:39,STOCK_4154,1.0,19.3
13:39:50,STOCK_4890,-1.0,7.45
13:39:50,STOCK_4890,1.0,7.45
13:39:50,STOCK_4890,-2.0,7.45
13:39:55,STOCK_4949,1.0,40.9
13:39:55,STOCK_4949,-3.0,40.9
13:39:58,STOCK_4949,1.0,40.6
13:39:58,STOCK_4949,-2.0,40.6
13:39:58,STOCK_4949,-1.0,40.6
13:40:00,STOCK_4890,4.0,7.05
13:40:00,STOCK_4949,1.0,40.2
13:40:00,STOCK_4949,-1.0,40.1
13:40:00,STOCK_4949,-1.0,40.1
13:40:00,STOCK_4949,-1.0,40.15
13:40:13,STOCK_4890,-4.0,7.05
13:40:16,STOCK_4890,3.0,7.05
13:40:16,STOCK_4890,1.0,7.1
13:40:23,STOCK_4890,4.0,7.05
13:40:33,STOCK_4890,1.0,7.05
13:40:33,STOCK_4890,3.0,7.05
13:43:32,STOCK_3660,2.0,1.35
13:43:33,STOCK_3660,2.0,1.35
13:44:16,STOCK_3660,4.0,1.3
13:44:27,STOCK_4548,-4.0,38.2
13:44:29,STOCK_4548,-1.0,37.85
13:44:29,STOCK_4548,-1.0,37.8
13:44:29,STOCK_4548,-1.0,37.85
13:44:29,STOCK_4548,-1.0,37.85
13:44:32,STOCK_4548,-1.0,37.2
13:44:32,STOCK_4548,-3.0,37.2
13:44:49,STOCK_4154,-4.0,22.15
13:45:10,STOCK_3660,-4.0,1.25
13:45:21,STOCK_4548,-2.0,37.5
13:45:21,STOCK_4548,-2.0,37.45
13:45:27,STOCK_4154,4.0,22.3
13:45:42,STOCK_4548,-4.0,31.2
13:45:46,STOCK_4548,2.0,28.3
13:45:46,STOCK_4548,-1.0,28.3
13:45:46,STOCK_4548,1.0,28.25
13:46:04,STOCK_3439,-1.0,376.6
13:46:05,STOCK_3439,-1.0,377.1
13:46:07,STOCK_3439,-1.0,390.85
13:46:10,STOCK_3439,1.0,403.65
13:46:12,STOCK_3439,-1.0,390.5
13:46:12,STOCK_3660,3.0,1.2
13:46:12,STOCK_3660,1.0,1.2
13:46:15,STOCK_3439,1.0,387.85
13:46:17,STOCK_3439,1.0,384.55
13:46:58,STOCK_3439,1.0,384.4
13:47:01,STOCK_3439,1.0,389.95
13:47:05,STOCK_3439,1.0,391.1
13:47:09,STOCK_3439,-1.0,397.8
13:47:13,STOCK_3439,1.0,403.6
13:47:17,STOCK_3439,1.0,401.25
13:47:17,STOCK_3439,1.0,397.25
13:47:21,STOCK_3439,1.0,407.55
13:47:22,STOCK_3439,1.0,412.5
13:47:24,STOCK_3439,1.0,414.45
13:47:24,STOCK_3439,1.0,414.1
13:49:41,STOCK_4154,-3.0,29.1
13:49:41,STOCK_4154,1.0,29.1
13:49:47,STOCK_4154,-4.0,31.5
13:50:10,STOCK_3660,4.0,1.15
13:50:20,STOCK_3439,-1.0,371.3
13:50:20,STOCK_3439,1.0,372.5
13:50:23,STOCK_3439,1.0,377.5
13:50:23,STOCK_3439,1.0,377.3
13:50:28,STOCK_4548,4.0,23.25
13:50:31,STOCK_4548,4.0,23.1
13:50:38,STOCK_4548,-3.0,21.35
13:50:38,STOCK_4548,1.0,21.35
13:50:41,STOCK_4548,-1.0,21.65
13:50:41,STOCK_4548,1.0,21.65
13:50:41,STOCK_4548,-2.0,21.6
13:51:25,STOCK_3439,1.0,375.35
13:51:25,STOCK_3439,-1.0,374.8
13:51:35,STOCK_4548,-2.0,20.2
13:51:35,STOCK_4548,-1.0,20.2
13:51:35,STOCK_4548,1.0,20.2
13:51:45,STOCK_3660,3.0,1.1
13:51:46,STOCK_4487,3.0,8.3
13:51:46,STOCK_4487,1.0,8.3
13:51:46,STOCK_3660,1.0,1.1
13:51:54,STOCK_5226,1.0,36.45
13:51:54,STOCK_5226,-3.0,36.4
13:51:56,STOCK_5226,3.0,34.8
13:51:56,STOCK_5226,-1.0,34.85
13:52:00,STOCK_5226,1.0,35.25
13:52:00,STOCK_5226,3.0,35.25
13:52:06,STOCK_3439,-1.0,396.7
13:52:08,STOCK_3439,1.0,401.15
13:52:09,STOCK_3439,1.0,402.3
13:52:09,STOCK_3439,1.0,403.15
13:52:46,STOCK_3660,-4.0,1.05
13:53:34,STOCK_4154,2.0,29.75
13:53:34,STOCK_4154,-2.0,29.75
13:54:24,STOCK_3660,-4.0,1.0
13:54:55,STOCK_3660,4.0,0.95
13:55:13,STOCK_4154,4.0,25.0
13:55:15,STOCK_4154,-4.0,24.45
13:55:17,STOCK_4154,2.0,24.6
13:55:17,STOCK_4154,-2.0,24.6
13:55:24,STOCK_3660,-4.0,0.9
13:55:35,STOCK_4154,1.0,24.45
13:55:35,STOCK_4154,1.0,24.4
13:55:35,STOCK_4154,1.0,24.4
13:55:35,STOCK_4154,-1.0,24.4
13:55:58,STOCK_3660,-4.0,0.9
13:56:32,STOCK_3660,5.0,0.9
13:56:32,STOCK_3660,-3.0,0.9
13:57:04,STOCK_3660,-4.0,0.85
13:57:54,STOCK_3439,-1.0,425.4
13:57:54,STOCK_3439,-1.0,427.35
13:57:56,STOCK_3439,1.0,427.65
13:57:56,STOCK_3439,1.0,425.5
13:57:58,STOCK_3439,-1.0,433.35
13:57:58,STOCK_3439,1.0,431.85
13:58:01,STOCK_4548,-4.0,10.05
13:58:03,STOCK_3439,1.0,432.05
13:58:03,STOCK_3439,1.0,431.75
13:58:15,STOCK_3439,-1.0,434.3
13:58:16,STOCK_3439,-1.0,435.55
13:58:24,STOCK_3177,1.0,336.75
13:58:24,STOCK_3177,1.0,336.4
13:59:31,STOCK_3660,-4.0,0.8
14:00:18,STOCK_4949,1.0,80.5
14:00:19,STOCK_4949,-1.0,79.0
14:00:19,STOCK_4949,-1.0,79.4
14:00:20,STOCK_4949,1.0,77.5
14:00:26,STOCK_4154,-1.0,32.3
14:00:26,STOCK_4154,-3.0,32.25
14:00:27,STOCK_4154,-3.0,33.1
14:00:27,STOCK_4154,-1.0,33.1
14:00:31,STOCK_4154,-1.0,35.05
14:00:31,STOCK_4154,-1.0,35.05
14:00:31,STOCK_4154,-1.0,35.1
14:00:31,STOCK_4154,1.0,35.1
14:00:38,STOCK_4949,1.0,81.1
14:00:38,STOCK_4949,1.0,82.2
14:00:39,STOCK_4949,1.0,80.8
14:00:41,STOCK_4949,-1.0,80.55
14:00:46,STOCK_4949,1.0,79.65
14:00:47,STOCK_4949,1.0,78.9
14:00:48,STOCK_4949,1.0,78.1
14:00:48,STOCK_4949,1.0,78.0
14:00:50,STOCK_4154,-1.0,34.75
14:00:50,STOCK_4154,-2.0,34.8
14:00:50,STOCK_4154,1.0,34.75
14:00:53,STOCK_4154,-2.0,33.55
14:00:53,STOCK_4154,2.0,33.55
14:00:56,STOCK_4154,-2.0,33.95
14:00:56,STOCK_4154,-2.0,33.95
14:01:01,STOCK_4154,-4.0,31.55
14:01:17,STOCK_3660,4.0,0.75
14:01:52,STOCK_4548,4.0,9.85
14:01:53,STOCK_4548,-3.0,9.55
14:01:53,STOCK_4548,1.0,9.55
14:01:56,STOCK_5226,4.0,20.5
14:01:57,STOCK_5226,-2.0,20.1
14:01:57,STOCK_5226,-1.0,20.1
14:01:57,STOCK_5226,-1.0,20.1
14:01:58,STOCK_4548,4.0,9.05
14:01:59,STOCK_5226,4.0,19.1
14:02:00,STOCK_4548,-4.0,8.55
14:02:01,STOCK_5226,1.0,18.4
14:02:01,STOCK_5226,-3.0,18.4
14:02:05,STOCK_3561,-1.0,44.4
14:02:05,STOCK_3561,2.0,44.4
14:02:05,STOCK_3561,-1.0,44.45
14:02:10,STOCK_3561,-1.0,46.65
14:02:10,STOCK_3561,1.0,46.7
14:02:10,STOCK_3561,-2.0,46.7
14:02:18,STOCK_3660,-4.0,0.7
14:02:29,STOCK_4548,-4.0,9.3
14:02:36,STOCK_4548,-3.0,9.05
14:02:36,STOCK_4548,1.0,9.05
14:02:36,STOCK_3561,-2.0,43.85
14:02:36,STOCK_3561,-2.0,43.85
14:02:37,STOCK_3561,1.0,42.7
14:02:37,STOCK_3561,2.0,42.7
14:02:37,STOCK_3561,1.0,42.65
14:02:38,STOCK_3561,-4.0,42.2
14:02:39,STOCK_4548,4.0,8.55
14:02:40,STOCK_3561,1.0,40.65
14:02:40,STOCK_3561,-2.0,40.65
