time,symbol,price
09:20:00,STOCK_3848,2065.325
09:20:00,STOCK_3940,1968.25
09:20:00,STOCK_3643,1865.425
09:20:00,STOCK_3447,1764.825
09:20:00,STOCK_5461,1666.225
09:20:00,STOCK_4580,1568.0
09:20:00,STOCK_3140,1467.975
09:20:00,STOCK_3337,1366.625
09:20:00,STOCK_4688,1267.35
09:20:00,STOCK_5047,1169.275
09:20:00,STOCK_4063,1069.65
09:20:00,STOCK_3311,971.55
09:20:00,STOCK_5769,873.5
09:20:00,STOCK_3365,776.05
09:20:00,STOCK_4127,680.55
09:20:00,STOCK_4699,585.25
09:20:00,STOCK_4441,492.25
09:20:00,STOCK_4989,402.85
09:20:00,STOCK_3415,319.8
09:20:00,STOCK_3979,241.775
09:20:00,STOCK_3824,175.925
09:20:00,STOCK_5628,121.35
09:20:00,STOCK_3561,80.44999999999999
09:20:00,STOCK_5226,51.725
09:20:00,STOCK_4548,32.75
09:20:00,STOCK_4487,20.275
09:20:00,STOCK_5904,13.225
09:20:00,STOCK_5498,9.025
09:20:00,STOCK_3245,6.625
09:20:00,STOCK_4771,5.074999999999999
09:20:00,STOCK_4583,3.575
09:20:00,STOCK_4073,2.925
09:20:00,STOCK_5151,2.375
09:20:00,STOCK_4137,2.075
09:20:00,STOCK_4935,2.025
09:20:00,STOCK_4731,1.775
09:20:00,STOCK_4146,1.6749999999999998
09:20:00,STOCK_3401,1.5750000000000002
09:20:00,STOCK_3682,1.475
09:20:00,STOCK_6061,2.725
09:20:00,STOCK_4239,3.025
09:20:00,STOCK_6078,3.225
09:20:00,STOCK_4518,3.475
09:20:00,STOCK_3213,3.825
09:20:00,STOCK_3660,4.125
09:20:00,STOCK_5375,4.425000000000001
09:20:00,STOCK_3666,4.875
09:20:00,STOCK_4427,5.375
09:20:00,STOCK_4381,5.975
09:20:00,STOCK_3683,6.9
09:20:00,STOCK_3887,7.824999999999999
09:20:00,STOCK_4917,9.25
09:20:00,STOCK_5265,11.175
09:20:00,STOCK_4310,13.925
09:20:00,STOCK_3130,17.875
09:20:00,STOCK_3584,23.05
09:20:00,STOCK_5150,30.375
09:20:00,STOCK_3228,41.1
09:20:00,STOCK_3896,57.150000000000006
09:20:00,STOCK_4890,79.8
09:20:00,STOCK_5050,113.4
09:20:00,STOCK_4154,158.72500000000002
09:20:00,STOCK_4949,218.175
09:20:00,STOCK_4783,289.075
09:20:00,STOCK_3870,370.825
09:20:00,STOCK_3177,458.275
09:20:00,STOCK_3439,551.25
09:20:00,STOCK_5282,646.75
09:20:00,STOCK_5440,744.125
09:20:00,STOCK_4144,842.5
09:20:00,STOCK_4781,940.625
09:20:00,STOCK_3954,1039.825
09:20:00,STOCK_4060,1139.875
09:20:00,STOCK_4993,1261.725
09:20:00,STOCK_4450,1338.325
09:20:00,STOCK_3138,1437.475
09:20:00,STOCK_5651,1545.225
09:20:00,STOCK_5998,1618.15
09:20:00,STOCK_4198,1738.425
09:21:00,STOCK_5559,2159.4750000000004
09:21:00,STOCK_3848,2061.025
09:21:00,STOCK_3940,1964.675
09:21:00,STOCK_3643,1865.0
09:21:00,STOCK_3447,1759.8000000000002
09:21:00,STOCK_5461,1662.525
09:21:00,STOCK_4580,1562.175
09:21:00,STOCK_3140,1462.75
09:21:00,STOCK_3337,1362.45
09:21:00,STOCK_4688,1262.625
